,question,human_answer,method,model_answer,context,exec_time
0,What course is most similar to text mining (TDDE16)?,"natural language processing (TDDE09, 729A27)",TFIDF, The course most similar to text mining (TDDE16) is text mining (732a81).,"Course: text mining (732a92) (732a92)
Teaching and working methods:

The teaching comprises lectures, lab exercises and a text mining project. The lectures are devoted to presentations of concepts, and methods. The computer lab exercises are devoted to practical application of text mining tools. In the project work, the student will get hands-on experience in solving a text mining problem. Homework and independent study are a necessary complement to the course.Language of instruction: English.

Examination:

Written report on the Text mining project. Written reports on lab assignments. Detailed information about the examination can be found in the course’s study guide.

Students failing an exam covering either the entire course or part of the course twice are entitled to have a new examiner appointed for the reexamination.

Students who have passed an examination may not retake it in order to improve their grades.

Grades:
ECTS, EC
Course: text mining (732a81)
Intended learning outcomes:

After completion of the course the student should on an advanced level be able to:
 - implement text mining methods and apply them to practical problems
 - analyze and summarize results from text mining experiments
 - identify, formulate and solve problems within the area of text mining
 - clearly present and discuss the conclusions of a project work

Course content:

The course covers the following methods within the area of text mining:
 - information retrieval
 - basic methods in language technology
 - predictive modeling, in particular text classification
 - text clustering and theme modeling
 - information extraction
 - validation methods

In addition, various applications of text mining as well as program libraries and data used in the field are treated.
Course: text mining (tdde16) (tdde16)
Intended learning outcomes:

Text Mining develops methods for accessing information in and extracting knowledge from large volumes of text. The overall aim of this course is to provide students with practical experience of the main steps of text mining: information retrieval, processing of text data, modelling, analysis of experimental results. The course ends with an individual project where students work on a self-defined problem.

On completion of the course, the student should be able to:
 - implement text mining methods and apply them to practical problems
 - analyse and summarise results from text mining experiments
 - identify, formulate and solve problems within the area of text mining
 - clearly present and discuss the conclusions of a project work",63210.47
1,What course is most similar to natural language processing (TDDE09)?,text mining (TDDE16),TFIDF," The most similar course to Natural Language Processing (TDDE09) is ""Text Mining (TDDE16)"". Both courses focus on natural language processing and cover topics such as information retrieval, basic natural language processing, predictive modeling, text classification, text clustering, topic modeling, information extraction, validation methods, and applications of text mining.","Course: text mining (tdde16) (tdde16)
Course content:
 - information retrieval
 - basic natural language processing
 - predictive modelling, in particular text classification
 - text clustering and topic modelling
 - information extraction
 - validation methods
 - applications of text mining
 - software libraries and data

Teaching and working methods:

The course is given in the form of lectures, computer labs, and supervision in connection with an individual project.

Examination:

PRA1 Project 3 credits U, 3, 4, 5
LAB1 Laboratory exercises 3 credits U, G

Grades:
Four-grade scale, LiU, U, 3, 4, 5

Other information:

Supplementary courses:

Natural Language Processing

Department:
Institutionen för datavetenskap
Course: natural language processing (729a27) (729a27)
Intended learning outcomes:

After completion of the course, the student should on an advanced level be able to:- explain state-of-the-art natural language processing algorithms and analyse them theoretically- implement natural language processing algorithms and apply them to practical problems- design and carry out evaluations of natural language processing components and systems- seek, assess and use scientific information within the area of natural language processing
Course: natural language processing (tdde09) (tdde09)
Course code:
tdde09

Course title:
natural language processing (tdde09)

Main field of study:
Information Technology, Computer Science and Engineering, Computer Science

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Computer Science

Prerequisites:
 - discrete mathematics, calculus, linear algebra, probability theory
 - good knowledge of programming, data structures, and algorithms
 - machine learning

The lab series for the course uses Python.",70113.45
2,What course is most similar to calculus in one variable 2 (TATA42)?,calculus in one variable 1 (TATA41),TFIDF," The course most similar to ""Calculus in One Variable 2"" (TATA42) is ""Calculus in One Variable 1"" or ""Calculus 1"" which is typically a prerequisite for TATA42. This first course covers foundational topics in calculus, such as limits, differentiation, and integration in one variable.","Course: theory of calculus, second course (tata73) (tata73)
Course code:
tata73

Course title:
theory of calculus, second course (tata73)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor's Programme in Mathematics

Prerequisites:
Calculus in one and several variables

Intended learning outcomes:

To give theoretical knowledges in calculus of one and several variables. After the course the student must be able tocite and use the definitions and theorems of limit, continuity, derivatives, indefinite and definite integrals, Taylor and Maclaurin series.prove central theorems in calculus of one and several variables.

Course content:

Calculus in one variable: Theory of lindefinite and definite integrals, Taylor and Maclaurin series.Calculus in several variables: Theory of limit, continuity, derivatives, integrals, Taylor and Maclaurin series.

Teaching and working methods:

Seminars including oral presentations.
Course: calculus in one variable 2 (tata42) (tata42)
Course code:
tata42

Course title:
calculus in one variable 2 (tata42)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Computer Science and Engineering
 - Master of Science in Energy - Environment - Management
 - Master of Science in Industrial Engineering and Management - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Chemical Biology
 - Master of Science in Mechanical Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Design and Product Development
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Biology
 - Master of Science in Engineering Mathematics

Prerequisites:

Calculus in one variable, part 1
Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.",97922.97
3,What course is most similar to calculus in one variable 1 (TATA41)?,calculus in one variable 2 (TATA42),TFIDF," The course most similar to Calculus in One Variable 1 (TATA41) is ""Calculus in One Variable"" (TATA71).","Course: calculus in one and several variables (tata91) (tata91)
Course code:
tata91

Course title:
calculus in one and several variables (tata91)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering

Prerequisites:
Calculus in one variable 1, Linear Algebra

Intended learning outcomes:

Gain familiarity with mathematical concepts, reasoning and relationships in calculus in one and several variables, and gain the calculation and problem solving skills needed for further studies. After completing this course you should be able to
 - cite, explain and use the definitions and theorems of the course’s key concepts
 - solve problems and verify that results are correct or resonable
Course: theory of calculus, second course (tata73) (tata73)
Course code:
tata73

Course title:
theory of calculus, second course (tata73)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor's Programme in Mathematics

Prerequisites:
Calculus in one and several variables

Intended learning outcomes:

To give theoretical knowledges in calculus of one and several variables. After the course the student must be able tocite and use the definitions and theorems of limit, continuity, derivatives, indefinite and definite integrals, Taylor and Maclaurin series.prove central theorems in calculus of one and several variables.

Course content:

Calculus in one variable: Theory of lindefinite and definite integrals, Taylor and Maclaurin series.Calculus in several variables: Theory of limit, continuity, derivatives, integrals, Taylor and Maclaurin series.

Teaching and working methods:

Seminars including oral presentations.
Course: calculus, several variables (tata83) (tata83)
Course code:
tata83

Course title:
calculus, several variables (tata83)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Bachelor of Science in Engineering Electronics
 - Master of Science in Chemical Biology
 - Master of Science in Engineering Biology
 - Bachelor of Science in Applied Physics

Prerequisites:
Linear Algebra, Calculus, one variable

Intended learning outcomes:

The aim is that the student shall become familiar with the mathematical concepts, the reasoning, and the relations that constitute several variable calculus, and also to acquire computitional and problem solving skills, to the extent required for further studies. After completing the course, the student should be able to
 - explain basic concepts and theorems for calculus in several variables.
 - identify and apply relevant methods to solve problems in calculus in several variables.",93549.79
4,"What course is most similar to probability, first course (TAMS14)?","statistics, first course (TAMS24)",TFIDF," The course most similar to Probability, First Course (TAMS14) is Probability Theory (732A63). Both courses focus on the foundational concepts of probability theory and its applications in various fields such as mathematics, engineering, and biology.","Course: probability theory (732a63) (732a63)
Intended learning outcomes:

After competition of the course, the students shall be able to:

- use the major univariate and multivariate probability distributions in solving theoretical and practical problems in probability

- derive probability distributions of functions of random vectors

- analyze probability models by moment generating functions and other transforms

- analyze probability models by conditioning

- account for basic modes of stochastic convergence and derive limit distributions.
Course: experimental design and biostatistics (tams38) (tams38)
Prerequisites:
A first course in probability and statistics
Course: probability, first course (tams14) (tams14)
Course code:
tams14

Course title:
probability, first course (tams14)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:
Linear algebra, differential and integral calculus, series.",55026.94
5,"What course is most similar to statistics, first course (TAMS24)?","probability, first course (TAMS14)",TFIDF," The course most similar to ""statistics, first course (TAMS24)"" would be ""decision theory (732a66)"", as both courses belong to the same main field of study, which is Mathematics, Applied Mathematics, and are at the same advancement level, A1F. However, it is important to note that these courses cater to different master's programs.","Course: database technology (732a57)
Course code:
732a57

Course title:
database technology

Main field of study:
Computer Science

Course level:
Second cycle

Advancement level:
A1F

Course offered for:
 - Master´s Programme in Statistics and Data Mining
 - Master's Programme in Statistics and Machine Learning
Course: statistics, first course (tams24) (tams24)
Course code:
tams24

Course title:
statistics, first course (tams24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:
Calculus, matrix algebra and a first course in probability theory.
Course: decision theory (732a66)
Course code:
732a66

Course title:
decision theory

Main field of study:
Statistics

Course level:
Second cycle

Advancement level:
A1F

Course offered for:
 - Master´s Programme in Statistics and Data Mining
 - Master's Programme in Statistics and Machine Learning",66638.31
6,"What course is most similar to linear algebra, honours course (TATA53)?",linear algebra (TATA24),TFIDF," The most similar course to Linear Algebra, Honours Course (TATA53) would be Functional Analysis (TATM85). Both are advanced courses in the field of Mathematics and are offered at a higher level than the basic linear algebra course. While TATA53 focuses on extending the knowledge of linear algebra, TATM85 delves further into the study of functional analysis.","Course: linear algebra, honours course (tata53) (tata53)
Prerequisites:
A basic course in linear algebra.

Intended learning outcomes:

This course extends the first course in linear algebra so that the student will be prepared for advanced courses in mathematics and applied subjects. After completing the course the student will be able to
 - describe basic concepts and properties of complex vector spaces
 - use and prove the spectral theorem for Hermitian and normal maps
 - use the singular value decomposition in applications
 - use the theory of positive matrices in applications
 - determine and apply the Jordan canonical form
 - use linear algebra in solving systems of differential and difference equations
Course: functional analysis (tatm85) (tatm85)
Course code:
tatm85

Course title:
functional analysis (tatm85)

Main field of study:
Mathematics, Applied Mathematics

Course level:
Second cycle

Advancement level:
A1X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Master's Programme in Mathematics

Prerequisites:
Linear Algebra,Calculus in one variable, Calculus in several variables, Real Analysis Honours Course, is a good preparation, but is not a prerequisite.
Course: linear algebra, honours course (tata53) (tata53)
Course code:
tata53

Course title:
linear algebra, honours course (tata53)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Computer Science and Engineering
 - Master of Science in Industrial Engineering and Management
 - Master of Science in Information Technology
 - Master of Science in Biomedical Engineering
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Industrial Engineering and Management - International
 - Master of Science in Applied Physics and Electrical Engineering - International
 - Bachelor's Programme in Mathematics
 - Master of Science in Engineering Mathematics

Prerequisites:
A basic course in linear algebra.",71939.83
7,What course is most similar to linear algebra (TATA24)?,"linear algebra, honours course (TATA53)",TFIDF," There isn't a specific course mentioned that is most similar to linear algebra (TATA24), but the course ""Linear Algebra, Honours Course (TATA53)"" appears to be an extension of the first course in linear algebra, which could be more similar to TATA24.","Course: linear algebra, honours course (tata53) (tata53)
Prerequisites:
A basic course in linear algebra.

Intended learning outcomes:

This course extends the first course in linear algebra so that the student will be prepared for advanced courses in mathematics and applied subjects. After completing the course the student will be able to
 - describe basic concepts and properties of complex vector spaces
 - use and prove the spectral theorem for Hermitian and normal maps
 - use the singular value decomposition in applications
 - use the theory of positive matrices in applications
 - determine and apply the Jordan canonical form
 - use linear algebra in solving systems of differential and difference equations
Course: linear algebra (tata24) (tata24)
Course code:
tata24

Course title:
linear algebra (tata24)

Main field of study:
Mathematics, Applied Mathematics

Course level:
First cycle

Advancement level:
G1X

Course offered for:
 - Master of Science in Information Technology
 - Master of Science in Computer Science and Software Engineering
 - Master of Science in Computer Science and Engineering
 - Bachelor's Programme in Mathematics
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Biomedical Engineering
 - Master of Science in Engineering Mathematics

Prerequisites:

Admisson to the course requires , as well as general university requirements, secondary school mathematics (or equivalent).
Course: the language of mathematics (tsit04) (tsit04)
Course content:

Matemathical theory and its structure, in connection to mathematical analysis and linear algebra. Presentation of matemathics.

Teaching and working methods:

The teaching will be done in discussion seminars. The course runs over the entire spring semester.

Examination:

UPG1 Oral presentations and written hand-ins 4 credits U, G

Grades:
Two grade scale, older version, U, G

Department:
Institutionen för systemteknik

Director of Studies or equivalent:
Klas Nordberg

Examiner:
Jan-Åke Larsson

Education components:
Preliminary scheduled hours: 34 h
Recommended self-study hours: 73 h

Course literature:

Other:
 - The course literature of TATA24, TATA41, TATA42 and TATA43. Hand-outs.",69050.66
8,What course is most similar to modern physics I (TFYA73)?,modern physics II (TFYA74),TFIDF, The course most similar to Modern Physics I (TFYA73) would be Modern Physics II (TFYA74).,"Course: modern physics (tne041) (tne041)
Course code:
tne041

Course title:
modern physics (tne041)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Electronics Design Engineering

Prerequisites:
Multivariable calculus,Mechanics and Wave physics or similar courses
Course: modern physics ii (tfya74) (tfya74)
Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory

Intended learning outcomes:

In Modern physics II applications of the foundations of relativity and quantum physics given in Modern Physics I are included. After completion of this course the student will be able to: outline the main ideas and theories in the more applied areas of modern physics solve problems in modern physics by choosing appropriate methods and assess the plausibility of the results obtained formulate and evaluate mathematical models describing physical problems explain the significance of the Swedish and English terms used in the field perform simple measurements and computer simulations of importance in modern physics
Course: modern physics i (tfya73) (tfya73)
Course code:
tfya73

Course title:
modern physics i (tfya73)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:

Mathematics, Calculus, Linear algebra, Mechanics, Wave Motion, Electromagnetic Field Theory.

Intended learning outcomes:",58816.26
9,What course is most similar to modern physics II (TFYA74)?,modern physics I (TFYA74),TFIDF," The course most similar to Modern Physics II (TFYA74) would be Modern Physics I (TNE041). Both courses cover advanced topics in modern physics, with TNE041 focusing on the foundations of relativity and quantum physics while TFYA74 builds upon these foundations and explores more applied areas of modern physics.","Course: modern physics (tne041) (tne041)
Course code:
tne041

Course title:
modern physics (tne041)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Electronics Design Engineering

Prerequisites:
Multivariable calculus,Mechanics and Wave physics or similar courses
Course: modern physics ii (tfya74) (tfya74)
Course code:
tfya74

Course title:
modern physics ii (tfya74)

Main field of study:
Applied Physics, Physics

Course level:
First cycle

Advancement level:
G2X

Course offered for:
 - Master of Science in Applied Physics and Electrical Engineering
 - Master of Science in Applied Physics and Electrical Engineering - International

Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory
Course: modern physics ii (tfya74) (tfya74)
Prerequisites:
Calculus, Mechanics, Wave Motion and Electromagnetic Field Theory

Intended learning outcomes:

In Modern physics II applications of the foundations of relativity and quantum physics given in Modern Physics I are included. After completion of this course the student will be able to: outline the main ideas and theories in the more applied areas of modern physics solve problems in modern physics by choosing appropriate methods and assess the plausibility of the results obtained formulate and evaluate mathematical models describing physical problems explain the significance of the Swedish and English terms used in the field perform simple measurements and computer simulations of importance in modern physics",65223.15
